Year,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,U.S. Army Corps of Engineers,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration,Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget)
1962,196,57,6437,215,50111,816,2755,3529,566,826,606,236,3914,457,3854,8474,5608,944,956,70,12,382,3171,1257,183,1017,230,..........,14365,2283,..........,..........,-6707,-5878,-830
1963,192,62,7414,354,51147,985,2700,4110,642,-609,730,256,3523,572,4145,9553,5501,1065,1077,87,13,425,3169,2552,206,1175,142,..........,15788,1615,..........,..........,-7274,-6450,-824
1964,199,66,7569,702,52585,973,2726,4610,747,73,755,275,3454,455,4736,10289,5662,1091,1287,117,15,520,3226,4171,310,1304,133,..........,16620,1178,..........,..........,-7321,-6435,-886
1965,212,75,6940,736,48780,1152,2579,4700,774,492,745,327,3121,552,5201,10791,5710,1171,1465,134,16,612,3248,5092,309,1454,243,..........,17460,1815,..........,..........,-7677,-6746,-931
1966,234,80,5633,485,56629,2416,2343,5715,705,2482,866,305,3239,629,5145,11761,5962,1245,1681,158,16,561,3260,5933,368,1726,210,..........,20694,2494,..........,..........,-8443,-7464,-979
1967,252,88,5952,477,70069,3596,2253,9639,782,3093,863,336,3562,655,5242,12737,6691,1273,1937,190,19,629,3375,5425,415,1934,151,94,21631,3683,..........,..........,-9578,-8371,-1207
1968,269,94,7430,582,80355,4072,2474,13074,973,3727,973,359,4180,645,5555,14290,7018,1252,2206,249,21,482,2814,4722,449,2154,284,94,23760,4290,..........,..........,-10712,-9289,-1424
1969,289,110,8446,607,80771,3990,2393,15411,1055,713,1073,423,4161,631,5724,16473,7670,1222,2557,303,24,526,2803,4251,490,2284,110,414,26885,2918,..........,..........,-11087,-9407,-1681
1970,353,133,8412,778,80123,4594,2393,17397,1089,2432,1087,537,4976,661,6136,19070,8652,1168,2974,384,29,530,2655,3752,464,2652,253,458,29812,4263,..........,..........,-12567,-10362,-2205
1971,395,145,8673,783,77497,5099,2200,20391,1011,2796,1345,801,8456,680,7039,20452,9758,1337,3510,701,38,546,2888,3382,522,3167,333,465,35408,5223,..........,..........,-14869,-12288,-2582
1972,499,173,11021,850,77645,5537,2299,25309,1340,3600,1609,1053,10426,747,7244,21539,10713,1490,4002,763,47,655,2980,3423,567,3776,452,538,39620,5082,355,..........,-14672,-11909,-2763
1973,553,188,10167,934,75033,5709,2304,25578,1833,3580,1780,1460,9561,807,7834,30201,11970,1676,4505,1114,50,795,2317,3312,585,4607,1317,567,48565,5497,157,..........,-18846,-15870,-2975
1974,638,207,10302,992,77864,5747,2233,28062,1661,4781,1854,1728,9964,955,7724,35369,13339,1664,5216,2030,67,929,3029,3255,647,5708,753,2750,55373,7076,773,..........,-23333,-20048,-3284
1975,739,284,15518,1077,84852,7331,3230,33751,2099,7512,2221,1985,18578,1075,9144,41843,16577,2031,6319,2531,93,341,3665,3269,662,7062,666,5279,64159,8595,1112,..........,-21267,-17547,-3719
1976,788,325,17682,1484,87917,7897,3841,40261,2455,7026,2433,2140,26524,1393,11709,43407,18416,2112,7358,3118,80,-13,3742,3671,733,8323,624,5576,73384,8490,1085,..........,-22186,-18411,-3775
1977,990,393,23287,2010,95147,8717,5049,46493,2755,5808,3220,2220,23225,1449,11978,48061,18020,2271,8251,4365,74,70,3616,4002,753,9633,758,6014,84344,9433,-173,..........,-23018,-19390,-3627
